transaction_id,customer_id,transaction_date,transaction_type,amount,product_category,product_subcategory,branch_city,branch_lat,branch_long,channel,currency,credit_card_fees,insurance_fees,late_payment_amount,customer_score,monthly_income,customer_segment,recommended_offer,month,year_month,total_fees
13,7949,2023-10-24,Loan Payment,347.078478,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0,0,2689,484,590651,Middle Income Segment,Mid-tier Savings Booster,10,2023-10,2689
14,3433,2023-03-03,Loan Payment,282.1119571,Credit Card,Business,Seville,37.3891,-5.9845,Mobile,EUR,235,0,14266,662,38585,Middle Income Segment,Gold Card with Travel Benefits,3,2023-03,14501
15,6311,2023-05-30,Deposit,2967.03972,Savings Account,Student,Bilbao,43.263,-2.935,Branch,EUR,0,0,0,730,101255,Low Income Segment,No-Fee Basic Account,5,2023-05,0
16,6051,2023-04-20,Card Payment,4760.063919,Savings Account,Platinum,Valencia,39.4699,-0.3763,Mobile,USD,0,0,0,332,616508,Middle Income Segment,Mid-tier Savings Booster,4,2023-04,0
17,7420,2024-10-08,Loan Payment,6036.819687,Loan,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0,1451,10165,827,67324,Middle Income Segment,Personal Loan Cashback Offer,10,2024-10,11616
18,2184,2023-12-21,Fee,4189.673892,Savings Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,383,82539,High Income Segment,Premium Investment Services,12,2023-12,0
19,5555,2025-05-05,Card Payment,9537.538641,Loan,Student,Murcia,37.9847,-1.1287,Online,EUR,0,2668,0,711,405512,Middle Income Segment,Personal Loan Cashback Offer,5,2025-05,2668
20,4385,2023-05-05,Card Payment,3889.236162,Checking Account,Business,Bilbao,43.263,-2.935,ATM,EUR,0,0,0,635,719114,High Income Segment,Premium Investment Services,5,2023-05,0
21,7396,2024-01-17,Deposit,2562.163609,Savings Account,Platinum,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,748,854774,High Income Segment,Premium Investment Services,1,2024-01,0
22,9666,2024-11-17,Fee,3404.541799,Checking Account,Standard,Valencia,39.4699,-0.3763,Branch,EUR,0,0,0,606,557325,Middle Income Segment,Mid-tier Savings Booster,11,2024-11,0
23,3558,2024-10-20,Fee,1972.456601,Checking Account,Business,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,0,828,276309,Low Income Segment,Financial Literacy Program Access,10,2024-10,0
24,8849,2023-04-23,Loan Payment,12796.84636,Mortgage,Student,Bilbao,43.263,-2.935,ATM,USD,0,0,17094,465,863525,High Income Segment,Exclusive Platinum Package,4,2023-04,17094
25,3047,2025-02-28,Transfer,2611.927729,Loan,Business,Murcia,37.9847,-1.1287,ATM,EUR,0,4866,0,479,738601,High Income Segment,Premium Investment Services,2,2025-02,4866
26,3747,2024-08-14,Fee,7072.808735,Checking Account,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,0,0,507,939488,High Income Segment,Premium Investment Services,8,2024-08,0
27,1189,2023-01-07,Loan Payment,5369.450372,Mortgage,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0,0,6511,607,629802,Middle Income Segment,Mid-tier Savings Booster,1,2023-01,6511
28,3734,2024-01-06,Transfer,137.0270871,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,EUR,0,0,0,639,677386,Middle Income Segment,Mid-tier Savings Booster,1,2024-01,0
29,4005,2025-01-01,Card Payment,844.0301918,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,589,494854,Middle Income Segment,Mid-tier Savings Booster,1,2025-01,0
30,5658,2024-11-09,Loan Payment,6924.048107,Checking Account,Gold,Madrid,40.4168,-3.7038,Branch,EUR,0,0,8344,511,273056,Low Income Segment,Financial Literacy Program Access,11,2024-11,8344
31,2899,2024-10-19,Loan Payment,645.0363944,Savings Account,Standard,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,16357,713,339828,Middle Income Segment,Mid-tier Savings Booster,10,2024-10,16357
32,8734,2023-08-29,Deposit,9176.159124,Loan,Business,Madrid,40.4168,-3.7038,Online,EUR,0,4232,0,828,607251,Middle Income Segment,Personal Loan Cashback Offer,8,2023-08,4232
33,2267,2024-07-19,Card Payment,915.9630528,Savings Account,Standard,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,0,749,637772,Middle Income Segment,Mid-tier Savings Booster,7,2024-07,0
34,2528,2024-02-13,Card Payment,4885.108633,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,USD,1031,0,0,587,505774,Middle Income Segment,Gold Card with Travel Benefits,2,2024-02,1031
35,4556,2024-11-22,Withdrawal,1027.551017,Savings Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,545,742607,High Income Segment,Premium Investment Services,11,2024-11,0
36,4890,2023-03-17,Transfer,2603.190122,Checking Account,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,573,666818,Middle Income Segment,Mid-tier Savings Booster,3,2023-03,0
37,9838,2023-06-01,Loan Payment,1872.87385,Mortgage,Gold,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,9786,437,359446,Middle Income Segment,Mid-tier Savings Booster,6,2023-06,9786
38,6393,2023-09-09,Fee,6909.059841,Loan,Business,Seville,37.3891,-5.9845,ATM,EUR,0,7577,0,387,148997,Low Income Segment,Financial Literacy Program Access,9,2023-09,7577
39,9792,2023-08-22,Fee,4550.103982,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0,9666,0,833,924961,High Income Segment,Premium Investment Services,8,2023-08,9666
40,9433,2024-11-27,Withdrawal,5455.139748,Mortgage,Student,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,682,691534,Middle Income Segment,Mid-tier Savings Booster,11,2024-11,0
41,8513,2023-12-24,Transfer,490.8950552,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,5858,0,575,447392,Middle Income Segment,Personal Loan Cashback Offer,12,2023-12,5858
42,3612,2023-01-23,Deposit,1068.250561,Checking Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,588,851675,High Income Segment,Premium Investment Services,1,2023-01,0
43,8041,2024-05-30,Transfer,5519.5363,Checking Account,Business,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,689,518509,Middle Income Segment,Mid-tier Savings Booster,5,2024-05,0
44,7235,2025-05-01,Fee,4366.090506,Mortgage,Platinum,Zaragoza,41.6488,-0.8891,Mobile,EUR,0,0,0,605,88393,High Income Segment,Exclusive Platinum Package,5,2025-05,0
45,6486,2024-07-31,Fee,3451.563165,Checking Account,Student,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,835,584799,Middle Income Segment,Mid-tier Savings Booster,7,2024-07,0
46,8099,2024-02-06,Deposit,7466.107323,Credit Card,Student,Seville,37.3891,-5.9845,ATM,EUR,1986,0,0,824,771393,High Income Segment,Exclusive Platinum Package,2,2024-02,1986
47,1775,2024-02-17,Deposit,3472.508337,Checking Account,Gold,Bilbao,43.263,-2.935,Mobile,EUR,0,0,0,423,392632,Middle Income Segment,Mid-tier Savings Booster,2,2024-02,0
48,9226,2025-04-09,Fee,2810.863397,Loan,Standard,Barcelona,41.3874,2.1686,Branch,EUR,0,1568,0,554,126138,Low Income Segment,Financial Literacy Program Access,4,2025-04,1568
49,4152,2023-10-19,Loan Payment,8199.032473,Mortgage,Business,Malaga,36.7213,-4.4214,Online,EUR,0,0,18281,691,587514,Middle Income Segment,Mid-tier Savings Booster,10,2023-10,18281
50,2585,2023-01-28,Loan Payment,7838.77446,Credit Card,Business,Madrid,40.4168,-3.7038,ATM,USD,262,0,14539,445,609329,Middle Income Segment,Gold Card with Travel Benefits,1,2023-01,14801
51,4943,2023-11-30,Deposit,4679.070333,Checking Account,Platinum,Murcia,37.9847,-1.1287,Online,EUR,0,0,0,424,541841,Middle Income Segment,Mid-tier Savings Booster,11,2023-11,0
52,8555,2024-10-17,Card Payment,4115.585229,Credit Card,Standard,Madrid,40.4168,-3.7038,Mobile,EUR,814,0,0,642,917104,High Income Segment,Exclusive Platinum Package,10,2024-10,814
53,4073,2024-11-23,Loan Payment,630.98502,Savings Account,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,17522,330,651328,Middle Income Segment,Mid-tier Savings Booster,11,2024-11,17522
54,2021,2023-08-17,Deposit,1244.342224,Savings Account,Standard,Murcia,37.9847,-1.1287,Branch,EUR,0,0,0,593,171594,Low Income Segment,No-Fee Basic Account,8,2023-08,0
55,4843,2024-06-26,Transfer,9254.792206,Credit Card,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,4525,0,0,389,606296,Middle Income Segment,Gold Card with Travel Benefits,6,2024-06,4525
56,8989,2025-02-21,Transfer,3850.964442,Savings Account,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,561,311993,Middle Income Segment,Mid-tier Savings Booster,2,2025-02,0
57,7873,2025-04-17,Transfer,441.3637935,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,747,49367,Middle Income Segment,Mid-tier Savings Booster,4,2025-04,0
58,6675,2025-02-10,Deposit,32.46730405,Savings Account,Business,Valencia,39.4699,-0.3763,ATM,EUR,0,0,0,746,645844,Middle Income Segment,Mid-tier Savings Booster,2,2025-02,0
59,1161,2023-02-19,Deposit,2626.019545,Mortgage,Business,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,467,695448,Middle Income Segment,Mid-tier Savings Booster,2,2023-02,0
60,5297,2024-01-08,Loan Payment,14064.72431,Mortgage,Platinum,Bilbao,43.263,-2.935,Online,EUR,0,0,16684,436,863511,High Income Segment,Exclusive Platinum Package,1,2024-01,16684
61,1995,2024-03-15,Loan Payment,2895.366238,Savings Account,Business,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,6205,724,558522,Middle Income Segment,Mid-tier Savings Booster,3,2024-03,6205
62,8629,2025-02-12,Loan Payment,10415.14268,Loan,Gold,Malaga,36.7213,-4.4214,ATM,EUR,0,9065,16468,431,288465,Low Income Segment,Financial Literacy Program Access,2,2025-02,25533
63,2016,2023-07-04,Withdrawal,2323.240365,Savings Account,Business,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,832,320761,Middle Income Segment,Mid-tier Savings Booster,7,2023-07,0
64,8869,2025-02-26,Deposit,4124.180621,Savings Account,Gold,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,363,201963,Low Income Segment,No-Fee Basic Account,2,2025-02,0
65,7439,2023-05-02,Card Payment,173.9986123,Savings Account,Standard,Barcelona,41.3874,2.1686,ATM,USD,0,0,0,546,179471,Low Income Segment,No-Fee Basic Account,5,2023-05,0
66,8892,2023-09-15,Transfer,5306.685308,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,7668,0,757,475875,Middle Income Segment,Personal Loan Cashback Offer,9,2023-09,7668
67,7863,2023-09-09,Transfer,4696.096092,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,EUR,0,5699,0,654,130249,Low Income Segment,Financial Literacy Program Access,9,2023-09,5699
68,8916,2023-11-23,Withdrawal,4896.108358,Savings Account,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,510,561708,Middle Income Segment,Mid-tier Savings Booster,11,2023-11,0
69,9529,2024-09-10,Withdrawal,2348.533949,Checking Account,Gold,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,704,457497,Middle Income Segment,Mid-tier Savings Booster,9,2024-09,0
70,1878,2025-02-10,Transfer,4083.688444,Credit Card,Standard,Barcelona,41.3874,2.1686,ATM,EUR,4031,0,0,511,737419,High Income Segment,Exclusive Platinum Package,2,2025-02,4031
71,5887,2023-12-09,Deposit,11309.65665,Mortgage,Platinum,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,444,545338,Middle Income Segment,Mid-tier Savings Booster,12,2023-12,0
72,5859,2023-01-24,Transfer,8615.672956,Credit Card,Business,Seville,37.3891,-5.9845,ATM,EUR,4464,0,0,770,183564,Low Income Segment,Financial Literacy Program Access,1,2023-01,4464
73,7331,2024-03-29,Transfer,13089.71897,Mortgage,Gold,Zaragoza,41.6488,-0.8891,ATM,EUR,0,0,0,783,393614,Middle Income Segment,Mid-tier Savings Booster,3,2024-03,0
74,9571,2024-08-26,Card Payment,3864.744055,Credit Card,Student,Seville,37.3891,-5.9845,Branch,EUR,4822,0,0,643,594817,Middle Income Segment,Gold Card with Travel Benefits,8,2024-08,4822
75,9684,2023-05-02,Withdrawal,11778.27789,Loan,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0,9773,0,736,824787,High Income Segment,Premium Investment Services,5,2023-05,9773
76,8208,2024-04-24,Withdrawal,3261.470132,Savings Account,Business,Bilbao,43.263,-2.935,Online,EUR,0,0,0,444,361849,Middle Income Segment,Mid-tier Savings Booster,4,2024-04,0
77,6276,2024-04-07,Loan Payment,12684.05405,Mortgage,Platinum,Bilbao,43.263,-2.935,Mobile,EUR,0,0,5906,510,187171,Low Income Segment,Financial Literacy Program Access,4,2024-04,5906
78,3062,2023-03-21,Withdrawal,4620.697431,Savings Account,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,661,375208,Middle Income Segment,Mid-tier Savings Booster,3,2023-03,0
79,1064,2023-03-27,Card Payment,1169.032445,Savings Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0,0,0,543,723644,High Income Segment,Premium Investment Services,3,2023-03,0
80,9006,2024-12-23,Card Payment,6204.46601,Loan,Student,Madrid,40.4168,-3.7038,Branch,EUR,0,9842,0,488,642502,Middle Income Segment,Personal Loan Cashback Offer,12,2024-12,9842
81,3568,2023-01-20,Transfer,8764.260517,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0,0,0,329,735847,High Income Segment,Exclusive Platinum Package,1,2023-01,0
82,6463,2024-01-14,Card Payment,6258.87124,Checking Account,Platinum,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,635,611031,Middle Income Segment,Mid-tier Savings Booster,1,2024-01,0
83,3027,2024-05-18,Loan Payment,4988.477637,Loan,Standard,Zaragoza,41.6488,-0.8891,Online,USD,0,8574,7301,818,883107,High Income Segment,Premium Investment Services,5,2024-05,15875
84,3695,2023-09-09,Transfer,1053.673504,Savings Account,Business,Bilbao,43.263,-2.935,Mobile,EUR,0,0,0,560,795206,High Income Segment,Premium Investment Services,9,2023-09,0
85,6258,2025-03-15,Deposit,11077.94817,Mortgage,Standard,Valencia,39.4699,-0.3763,Branch,USD,0,0,0,660,883224,High Income Segment,Exclusive Platinum Package,3,2025-03,0
86,6618,2023-09-12,Deposit,7359.725739,Loan,Business,Bilbao,43.263,-2.935,ATM,EUR,0,9535,0,575,609889,Middle Income Segment,Personal Loan Cashback Offer,9,2023-09,9535
87,7736,2024-08-25,Withdrawal,11154.91219,Loan,Platinum,Madrid,40.4168,-3.7038,Branch,EUR,0,4133,0,809,295217,Low Income Segment,Financial Literacy Program Access,8,2024-08,4133
88,1391,2023-10-26,Loan Payment,5110.551794,Checking Account,Gold,Bilbao,43.263,-2.935,Branch,USD,0,0,12459,472,367652,Middle Income Segment,Mid-tier Savings Booster,10,2023-10,12459
89,6892,2023-01-06,Card Payment,174.2047693,Credit Card,Student,Murcia,37.9847,-1.1287,Branch,EUR,625,0,0,454,994931,High Income Segment,Exclusive Platinum Package,1,2023-01,625
90,4561,2025-03-25,Fee,14403.51844,Mortgage,Gold,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,570,564003,Middle Income Segment,Mid-tier Savings Booster,3,2025-03,0
91,7184,2023-06-05,Deposit,8843.364133,Mortgage,Gold,Seville,37.3891,-5.9845,ATM,EUR,0,0,0,529,287946,Low Income Segment,Financial Literacy Program Access,6,2023-06,0
92,4099,2023-11-10,Card Payment,8884.532582,Mortgage,Platinum,Murcia,37.9847,-1.1287,Online,USD,0,0,0,364,374015,Middle Income Segment,Mid-tier Savings Booster,11,2023-11,0
93,7278,2025-03-29,Deposit,13549.26196,Mortgage,Standard,Barcelona,41.3874,2.1686,Online,USD,0,0,0,839,285057,Low Income Segment,Financial Literacy Program Access,3,2025-03,0
94,9392,2024-03-12,Deposit,6496.194638,Credit Card,Student,Valencia,39.4699,-0.3763,Mobile,EUR,4432,0,0,545,966193,High Income Segment,Exclusive Platinum Package,3,2024-03,4432
95,4104,2023-09-13,Deposit,5957.913423,Loan,Gold,Bilbao,43.263,-2.935,Online,USD,0,6565,0,755,541457,Middle Income Segment,Personal Loan Cashback Offer,9,2023-09,6565
96,8215,2024-07-23,Withdrawal,1343.182044,Loan,Standard,Valencia,39.4699,-0.3763,Online,EUR,0,9145,0,326,530645,Middle Income Segment,Personal Loan Cashback Offer,7,2024-07,9145
97,3454,2024-01-19,Loan Payment,9411.918843,Credit Card,Student,Barcelona,41.3874,2.1686,Online,EUR,2311,0,107,629,51635,Middle Income Segment,Gold Card with Travel Benefits,1,2024-01,2418
98,9996,2024-03-02,Deposit,985.9744394,Loan,Platinum,Seville,37.3891,-5.9845,Online,USD,0,9739,0,424,774414,High Income Segment,Premium Investment Services,3,2024-03,9739
99,3731,2024-10-07,Card Payment,1673.862323,Credit Card,Student,Madrid,40.4168,-3.7038,ATM,EUR,538,0,0,797,244228,Low Income Segment,Financial Literacy Program Access,10,2024-10,538
100,9154,2023-09-12,Card Payment,8017.889437,Credit Card,Business,Bilbao,43.263,-2.935,Online,EUR,215,0,0,407,202561,Low Income Segment,Financial Literacy Program Access,9,2023-09,215
101,6056,2024-06-23,Withdrawal,6095.400294,Loan,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,2984,0,447,255053,Low Income Segment,Financial Literacy Program Access,6,2024-06,2984
102,9110,2023-04-01,Loan Payment,2223.654275,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0,7806,15843,353,458756,Middle Income Segment,Personal Loan Cashback Offer,4,2023-04,23649
103,4840,2024-02-09,Loan Payment,2806.01726,Credit Card,Business,Zaragoza,41.6488,-0.8891,Branch,EUR,1145,0,1158,632,651567,Middle Income Segment,Gold Card with Travel Benefits,2,2024-02,2303
104,2028,2025-01-28,Fee,7751.273232,Checking Account,Standard,Seville,37.3891,-5.9845,Online,EUR,0,0,0,568,840427,High Income Segment,Premium Investment Services,1,2025-01,0
105,8385,2023-12-02,Transfer,2915.203766,Savings Account,Gold,Barcelona,41.3874,2.1686,Mobile,EUR,0,0,0,425,301596,Middle Income Segment,Mid-tier Savings Booster,12,2023-12,0
106,1502,2024-05-16,Deposit,5992.92216,Mortgage,Business,Madrid,40.4168,-3.7038,Branch,EUR,0,0,0,846,717939,High Income Segment,Exclusive Platinum Package,5,2024-05,0
107,7910,2024-08-12,Withdrawal,8571.745184,Credit Card,Platinum,Seville,37.3891,-5.9845,ATM,EUR,1128,0,0,713,502264,Middle Income Segment,Gold Card with Travel Benefits,8,2024-08,1128
108,7938,2024-08-28,Loan Payment,5962.569575,Loan,Business,Murcia,37.9847,-1.1287,Mobile,EUR,0,8477,5065,480,851454,High Income Segment,Premium Investment Services,8,2024-08,13542
109,5488,2023-11-05,Fee,3018.779873,Credit Card,Business,Seville,37.3891,-5.9845,Online,EUR,4007,0,0,576,207152,Low Income Segment,Financial Literacy Program Access,11,2023-11,4007
110,1206,2024-02-12,Transfer,2049.427257,Loan,Gold,Seville,37.3891,-5.9845,Branch,EUR,0,6553,0,660,86798,High Income Segment,Premium Investment Services,2,2024-02,6553
111,6134,2024-12-17,Loan Payment,7284.370961,Credit Card,Business,Bilbao,43.263,-2.935,Branch,EUR,2516,0,17411,722,112406,Low Income Segment,Financial Literacy Program Access,12,2024-12,19927
112,6977,2025-02-08,Loan Payment,7407.963479,Loan,Student,Bilbao,43.263,-2.935,Mobile,EUR,0,1968,9313,432,292871,Low Income Segment,Financial Literacy Program Access,2,2025-02,11281
113,8721,2024-08-18,Deposit,727.2481883,Checking Account,Gold,Zaragoza,41.6488,-0.8891,Online,EUR,0,0,0,450,698329,Middle Income Segment,Mid-tier Savings Booster,8,2024-08,0
114,8035,2023-06-15,Transfer,2953.172904,Savings Account,Student,Madrid,40.4168,-3.7038,Online,EUR,0,0,0,833,479428,Middle Income Segment,Mid-tier Savings Booster,6,2023-06,0
115,2484,2024-03-02,Transfer,1990.238246,Loan,Business,Bilbao,43.263,-2.935,Online,USD,0,925,0,596,869773,High Income Segment,Premium Investment Services,3,2024-03,925
116,8858,2024-12-01,Withdrawal,7655.499366,Checking Account,Student,Barcelona,41.3874,2.1686,Branch,EUR,0,0,0,815,730918,High Income Segment,Premium Investment Services,12,2024-12,0
117,1863,2024-02-21,Fee,1299.1361,Savings Account,Platinum,Malaga,36.7213,-4.4214,Online,EUR,0,0,0,692,266794,Low Income Segment,No-Fee Basic Account,2,2024-02,0
118,3790,2025-04-11,Card Payment,8645.792312,Loan,Platinum,Malaga,36.7213,-4.4214,Branch,EUR,0,1409,0,499,331259,Middle Income Segment,Personal Loan Cashback Offer,4,2025-04,1409
119,8408,2024-05-17,Withdrawal,9780.136306,Mortgage,Business,Madrid,40.4168,-3.7038,ATM,EUR,0,0,0,392,102997,Low Income Segment,Financial Literacy Program Access,5,2024-05,0
120,9755,2024-05-16,Fee,6765.326824,Credit Card,Student,Murcia,37.9847,-1.1287,ATM,EUR,649,0,0,830,192264,Low Income Segment,Financial Literacy Program Access,5,2024-05,649
121,6116,2024-06-20,Withdrawal,4211.480993,Credit Card,Business,Murcia,37.9847,-1.1287,Branch,EUR,4483,0,0,788,837437,High Income Segment,Exclusive Platinum Package,6,2024-06,4483
122,7019,2023-06-25,Fee,736.1105179,Credit Card,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,4319,0,0,615,152948,Low Income Segment,Financial Literacy Program Access,6,2023-06,4319
123,2757,2023-06-11,Card Payment,12168.41381,Loan,Student,Barcelona,41.3874,2.1686,Branch,USD,0,3124,0,624,739872,High Income Segment,Premium Investment Services,6,2023-06,3124
124,8574,2023-04-25,Deposit,2865.759079,Mortgage,Platinum,Seville,37.3891,-5.9845,Mobile,EUR,0,0,0,594,556459,Middle Income Segment,Mid-tier Savings Booster,4,2023-04,0
125,7374,2024-04-21,Fee,11472.19976,Mortgage,Student,Madrid,40.4168,-3.7038,Mobile,EUR,0,0,0,601,573893,Middle Income Segment,Mid-tier Savings Booster,4,2024-04,0
126,7892,2023-04-12,Card Payment,2062.683789,Mortgage,Gold,Zaragoza,41.6488,-0.8891,Mobile,USD,0,0,0,750,859904,High Income Segment,Exclusive Platinum Package,4,2023-04,0
127,2678,2024-12-12,Withdrawal,1406.214855,Savings Account,Business,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,452,740354,High Income Segment,Premium Investment Services,12,2024-12,0
128,4242,2023-11-26,Transfer,6957.247916,Loan,Student,Seville,37.3891,-5.9845,Online,EUR,0,3439,0,430,481189,Middle Income Segment,Personal Loan Cashback Offer,11,2023-11,3439
129,5636,2023-02-03,Loan Payment,3228.769229,Checking Account,Student,Malaga,36.7213,-4.4214,Mobile,EUR,0,0,14326,408,929406,High Income Segment,Premium Investment Services,2,2023-02,14326
130,2059,2023-09-11,Card Payment,4780.10097,Savings Account,Gold,Valencia,39.4699,-0.3763,Mobile,EUR,0,0,0,302,692965,Middle Income Segment,Mid-tier Savings Booster,9,2023-09,0
131,7668,2024-03-04,Card Payment,10527.10142,Loan,Standard,Murcia,37.9847,-1.1287,Online,EUR,0,5252,0,532,58305,Middle Income Segment,Personal Loan Cashback Offer,3,2024-03,5252
132,4157,2023-11-28,Card Payment,13735.76412,Mortgage,Gold,Barcelona,41.3874,2.1686,ATM,EUR,0,0,0,562,934626,High Income Segment,Exclusive Platinum Package,11,2023-11,0
133,6915,2023-12-13,Fee,7959.612012,Loan,Student,Zaragoza,41.6488,-0.8891,Branch,EUR,0,3159,0,559,780733,High Income Segment,Premium Investment Services,12,2023-12,3159
134,3693,2023-04-15,Fee,3273.465287,Mortgage,Standard,Zaragoza,41.6488,-0.8891,Branch,EUR,0,0,0,847,294744,Low Income Segment,Financial Literacy Program Access,4,2023-04,0
135,4627,2023-08-07,Transfer,4046.96438,Checking Account,Platinum,Murcia,37.9847,-1.1287,ATM,EUR,0,0,0,596,3496,Middle Income Segment,Mid-tier Savings Booster,8,2023-08,0
136,6450,2023-07-23,Deposit,11409.87344,Mortgage,Business,Zaragoza,41.6488,-0.8891,ATM,USD,0,0,0,344,54979,Middle Income Segment,Mid-tier Savings Booster,7,2023-07,0
137,2663,2024-12-14,Withdrawal,327.4863082,Savings Account,Standard,Malaga,36.7213,-4.4214,ATM,EUR,0,0,0,667,107362,Low Income Segment,No-Fee Basic Account,12,2024-12,0
138,6592,2023-04-28,Deposit,10718.51275,Loan,Platinum,Madrid,40.4168,-3.7038,Mobile,EUR,0,2133,0,672,9733,High Income Segment,Premium Investment Services,4,2023-04,2133
139,8392,2023-11-06,Fee,6179.03632,Credit Card,Student,Madrid,40.4168,-3.7038,Online,EUR,3101,0,0,388,649858,Middle Income Segment,Gold Card with Travel Benefits,11,2023-11,3101
140,2306,2023-10-07,Fee,10785.26926,Mortgage,Standard,Seville,37.3891,-5.9845,Branch,EUR,0,0,0,376,944896,High Income Segment,Exclusive Platinum Package,10,2023-10,0
